Waf: Entering directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
[2603/2653] Compiling scratch/vanet3-p2p.cc
[2612/2653] Linking build/scratch/vanet3-p2p
Waf: Leaving directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.231s)
n
n
n
n
n
n
n
n
n
n
n
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:11, uid, 128, RXtime, +2032052257.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:0c, uid, 132, RXtime, +2032341956.0ns,
Promiscuous, NodeId, 10, , from, 02-06-00:00:00:00:00:0c, uid, 132, RXtime, +2032342106.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:0c, uid, 132, RXtime, +2032342106.0ns,
Promiscuous, NodeId, 15, , from, 02-06-00:00:00:00:00:0c, uid, 132, RXtime, +2032342107.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:0c, uid, 132, RXtime, +2032342107.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:0c, uid, 132, RXtime, +2032342273.0ns,
Promiscuous, NodeId, 0, , from, 02-06-00:00:00:00:00:02, uid, 136, RXtime, +2059048311.0ns,
Promiscuous, NodeId, 2, , from, 02-06-00:00:00:00:00:02, uid, 136, RXtime, +2059048451.0ns,
Promiscuous, NodeId, 3, , from, 02-06-00:00:00:00:00:02, uid, 136, RXtime, +2059048523.0ns,
Promiscuous, NodeId, 8, , from, 02-06-00:00:00:00:00:0a, uid, 140, RXtime, +2060175647.0ns,
Promiscuous, NodeId, 7, , from, 02-06-00:00:00:00:00:0a, uid, 140, RXtime, +2060175783.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885117.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885267.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885267.0ns,
Promiscuous, NodeId, 20, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885268.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885268.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885434.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:1b, uid, 144, RXtime, +2104885434.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105056764.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105056914.0ns,
Promiscuous, NodeId, 19, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105056914.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105056915.0ns,
Promiscuous, NodeId, 14, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105056915.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105057081.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:13, uid, 148, RXtime, +2105057081.0ns,
Promiscuous, NodeId, 6, , from, 02-06-00:00:00:00:00:06, uid, 152, RXtime, +2109756434.0ns,
Promiscuous, NodeId, 4, , from, 02-06-00:00:00:00:00:06, uid, 152, RXtime, +2109756516.0ns,
Promiscuous, NodeId, 7, , from, 02-06-00:00:00:00:00:06, uid, 152, RXtime, +2109756605.0ns,
Promiscuous, NodeId, 3, , from, 02-06-00:00:00:00:00:06, uid, 152, RXtime, +2109756682.0ns,
Promiscuous, NodeId, 2, , from, 02-06-00:00:00:00:00:04, uid, 156, RXtime, +2125293536.0ns,
Promiscuous, NodeId, 4, , from, 02-06-00:00:00:00:00:04, uid, 156, RXtime, +2125293628.0ns,
Promiscuous, NodeId, 1, , from, 02-06-00:00:00:00:00:04, uid, 156, RXtime, +2125293767.0ns,
Promiscuous, NodeId, 3, , from, 02-06-00:00:00:00:00:03, uid, 160, RXtime, +2139628404.0ns,
Promiscuous, NodeId, 1, , from, 02-06-00:00:00:00:00:03, uid, 160, RXtime, +2139628563.0ns,
